Country Name,"Source Ethnicity
Data ","Date Ethnicity
Data",Ethnic Fractionalization,Religion Fractionalization
Afghanistan,wdm,1995,0.7693,0.2717
Albania,wdm,1989,0.2204,0.4719
Algeria,eb,1992,0.3394,0.0091
American Samoa,,,,0.6395
Andorra,eb,1997,0.7139,0.2326
Angola,eb,1983,0.7867,0.6276
Antigua and Barbuda,eb,1994,0.1643,0.684
Argentina,eb,1986,0.255,0.2236
Armenia,eb,1989,0.1272,0.4576
Aruba,,,,0.4107
Australia,eb,1986,0.0929,0.8211
Austria,lev,1998,0.1068,0.4146
Azerbaijan,eb,1995,0.2047,0.4899
Bahamas,lev,1989,0.4228,0.6815
Bahrain,eb,1991,0.5021,0.5528
Bangladesh,eb,1997,0.0454,0.209
Barbados,eb,1990,0.1423,0.6934
Belarus,cia,2001,0.3222,0.6116
Belgium,cia,2001,0.5554,0.2127
Belize,eb,1991,0.7015,0.5813
Benin,eb,1992,0.7872,0.5544
Bermuda,,,,0.7112
Bhutan,eb,1993,0.605,0.3787
Bolivia,lev,1998,0.7396,0.2085
Bosnia and Herzegovina,eb,1991,0.63,0.6851
Botswana,eb,1983,0.4102,0.5986
Brazil,eb,1995,0.5408,0.6054
Brunei,wdm,1995,0.5416,0.4404
Bulgaria,wdm,1992,0.4021,0.5965
Burkina Faso,eb,1983,0.7377,0.5798
Burundi,eb,1983,0.2951,0.5158
Cambodia,eb,1994,0.2105,0.0965
Cameroon,eb,1983,0.8635,0.7338
Canada,eb,1991,0.7124,0.6958
Cape Verde,eb,1986,0.4174,0.0766
Central African Republic,eb,1988,0.8295,0.7916
Chad,eb,1993,0.862,0.6411
Chile,eb,1992,0.1861,0.3841
China,eb,1990,0.1538,0.6643
Colombia,eb,1985,0.6014,0.1478
Comoros,eb,1995,0,0.0137
Congo,eb,1983,0.8747,0.6642
"Congo, Dem. Rep. (Zaire)",eb,1983,0.8747,0.7021
Costa Rica,eb,1993,0.2368,0.241
Cote d'lvoire,lev,1998,0.8204,0.7551
Croatia,eb,1991,0.369,0.4447
Cuba,eb,1994,0.5908,0.5059
Cyprus,eb,1992,0.0939,0.3962
