Contry Name,Latitude
Algeria,36.72
Angola,-8.843
Benin,6.364
Botswana,-21.536
Burkina faso,12.049
Burundi,-3.365
Cameroon,10.73
Cape Verde Is.,15.091
Central Afr.R.,4.331
Chad,10.377
Comoros,-11.671
Congo,-3.684
Djibouti,11.505
Egypt,29.996
Ethiopia,9.007
Gabon,0.372
Gambia,13.257
Ghana,6.694
Guinea,11.671
Guinea-biss,12.262
Ivory Coast,5.496
Kenya,-0.513
Lesotho,-29.595
Liberia,6.385
Madagascar,-18.958
Malawi,-15.811
Mali,12.508
Mauritania,17.925
Mauritius,-20.232
Morocco,33.593
Mozambique,-18.499
Namibia,-17.979
Niger,13.876
Nigeria,6.543
Reunion,-20.954
Rwanda,-2.032
Senegal,14.772
Seychelles,-4.664
Sierra leone,8.701
Somalia,10.633
South africa,-29.13
Sudan,14.043
Swaziland,-26.545
Tanzania,-2.154
Togo,6.194
Tunisia,36.816
Uganda,0.228
Zaire,-0.569
Zambia,-12.942
Zimbabwe,-17.876
Bahamas,24.7
Barbados,13.179
Belize,17.843
Canada,43.727
Costa rica,9.941
Dominica,15.433
Dominican rep.,18.561
El salvador,13.775
Grenada,12.115
Guatemala,14.622
Haiti,18.932
Honduras,14.194
Jamaica,18.055
Mexico,16.759
Nicaragua,12.211
Panama,9.206
Puerto rico,18.225
St.kitts&nevis,17.327
St.lucia,13.898
St.vincent&gre,13.254
Trinidad&tobago,10.418
U.S.A.,34.36
Argentina,-36.676
Bolivia,-15.19
Brazil,-19.557
Chile,-33.554
Colombia,4.788
Ecuador,-2.062
Guyana,5.761
Paraguay,-25.583
Peru,-11.794
Suriname,5.605
Uruguay,-34.822
Venezuela,9.843
Bahrain,26.024
Bangladesh,23.88
Bhutan,27.479
China,29.561
Hong Kong,22.704
India,25.274
Indonesia,-6.562
Iran,35.38
Iraq,33.314
Israel,32.084
Japan,35.712
Jordan,31.602
"Korea, rep.",37.553
Kuwait,29.326
Laos,16.547
Malaysia,3.269
Mongolia,47.493
Myanmar,17.679
Nepal,27.712
Oman,20.445
Pakistan,31.173
Philippines,13.922
Qatar,25.309
Saudi arabia,23.069
Singapore,1.355
Sri lanka,6.868
Syria,33.458
Taiwan,25.259
Thailand,13.77
United arab e.,23.39
Yemen,15.228
Austria,48.231
Belgium,50.837
Bulgaria,42.073
Cyprus,35.081
Czechoslovakia,49.175
Denmark,55.718
Finland,60.212
France,48.857
"Germany, East",51.332
"Germany, West",48.161
Greece,38.058
Hungary,47.419
Iceland,63.892
Ireland,54.611
Italy,45.415
Luxembourg,49.78
Malta,35.887
Netherlands,51.874
Norway,59.977
Poland,50.244
Portugal,38.816
Romania,44.526
Spain,37.398
Sweden,59.278
Switzerland,47.408
Turkey,41.202
U.K.,51.51
U.S.S.R.,55.675
Yugoslavia,43.773
Australia,-32.219
Fiji,-17.827
New zealand,-36.892
Papua n.guinea,-6.6
Solomon is.,-9.625
Tonga,-21.173
Vanuatu,-15.233
Western samoa,-13.633
