Country Name,Settler_Mortality_Estimate
Algeria,78.2
Angola,280
Argentina,68.9
Australia,8.55
Bahamas,85
Bangladesh,71.41
Bolivia,71
Brazil,71
Burkina Faso,280
Cameroon,280
Canada,16.1
Chile,68.9
Colombia,71
Congo (Brazzaville),240
Costa Rica,78.1
Coˆte d’Ivoire,668
Dominican Republic,130
Ecuador,71
Egypt,67.8
El Salvador,78.1
Ethiopia,26
Gabon,280
Gambia,1470
Ghana,668
Guatemala,71
Guinea,483
Guyana,32.18
Haiti,130
Honduras,78.1
Hong Kong,14.9
India,48.63
Indonesia,170
Jamaica,130
Kenya,145
Madagascar,536.04
Malaysia,17.7
Mali,2940
Malta,16.3
Mexico,71
Morocco,78.2
New Zealand,8.55
Nicaragua,163.3
Niger,400
Nigeria,2004
Pakistan,36.99
Panama,163.3
Paraguay,78.1
Peru,71
Senegal,164.66
Sierra Leone,483
Singapore,17.7
South Africa,15.5
Sri Lanka,69.8
Sudan,88.2
Tanzania,145
Togo,668
Trinidad and Tobago,85
Tunisia,63
Uganda,280
Uruguay,71
USA,15
Venezuela,78.1
Vietnam,140
Zaire,240
