Country Name,Temperature_Celcius
Afghanistan,19.75
Albania,20.25
Algeria,21.58
Angola,26.75
Argentina,21.5
Australia,21.25
Austria,13.5
Barbados,30.75
Belgium,14.25
Benin,30.17
Bolivia,17.75
Botswana,22.42
Brazil,27.33
Bulgaria,15.17
Burma,31.75
Burundi,29.5
Cameroon,27.92
Canada,10.58
Central African Republic,31.5
Chad,36.08
Chile,22.25
China,18.42
Colombia,18.83
Congo,30.42
Costa Rica,25.33
Cuba,28.83
Cyprus,25.92
Czechoslovakia,12.17
Denmark,11.5
Dominican Republic,30
Ecuador,22
Egypt,28.17
El Salvador,32.17
Ethiopia,23.33
Finland,8.25
France,15.58
Gabon,30.25
Gambia,29.17
Germany East,13.08
Germany West,13.67
Ghana,29.67
Greece,22.58
Guatemala,25.5
Guinea,30.5
Guyana,30.67
Haiti,32.17
Honduras,27.5
Hong Kong,24.67
Hungary,15.5
Iceland,7.42
India,31.83
Indonesia,30.33
Iran,22.75
Iraq,30.33
Ireland,13
Israel,23.08
Italy,20.5
Ivory Coast,30.17
Jamaica,31.08
Japan,18.67
Jordan,24.58
Kampuchea,31.92
Kenya,23.25
Korea North,16.33
Korea South,16.33
Kuwait,30.33
Laos,30.83
Lebanon,24.17
Lesotho,22.42
Liberia,28.83
Libya,23.42
Luxembourg,13.17
Madagascar,24.25
Malawi,25.83
Malaysia,31
Maldives,29.75
Mali,34.67
Malta,21.33
Mauritania,31.83
Mauritius,24.25
Mexico,22.33
Mongolia,3.83
Morocco,21.92
Mozambique,27.67
Nepal,25.25
Netherlands,12.25
New Zealand,16.25
Nicaragua,33.08
Niger,36.92
Nigeria,30.17
Norway,9.83
Pakistan,31.92
Panama,30.75
Papua New Guinea,30.17
Paraguay,29.25
Peru,23.58
Philippines,31.67
Poland,12.33
Portugal,20.58
Puerto Rico,28.33
Rumania,16.67
Rwanda,29.5
Saudi Arabia,32.58
Senegal,29.17
Sierra Leone,30.5
Singapore,31
Somalia,30
South Africa,22.42
Soviet Union,8.5
Spain,19
Sri Lanka,29.75
Sudan,37.58
Sweden,9.58
Switzerland,13.92
Syria,24.58
Taiwan,26
Tanzania,29.58
Thailand,32.5
Togo,29.67
Trinidad & Tobago,30.75
Tunisia,23.25
Turkey,17.92
Uganda,26.58
United Kingdom,14.17
United States,18.33
Upper Volta,34.67
Uruguay,21
Venezuela,25.92
Vietnam North,27.5
Vietnam South,32.08
Yemen (Aden),31
Yemen (Sana),31
Yugoslavia,16.67
Zaire,30.42
Zambia,26.33
Zimbabwe,24.92
