Country Name,1PS,2PS,pronoun drop license
Argentina,0,1,0
Australia,0,0,1
Austria,0,1,1
Belgium,0,1,1
Bosnia and Herzegovina,0,1,0
Brazil,0,1,0
Bulgaria,1,1,0
Burkina Faso,1,1,0
Canada,0,0,1
Chile,0,1,0
China,0,0,0
Colombia,0,1,0
Costa Rica,0,1,0
Croatia,0,1,0
Czech Republic,1,1,1
Denmark,0,0,1
Ecuador,0,1,0
Egypt,0,1,0
El Salvador,0,1,0
Ethiopia,0,0,0
Finland,0,0,1
France,0,1,1
Germany,0,1,1
Ghana,0,0,1
Greece,0,1,0
Guatemala,0,1,0
Hong Kong SAR,0,0,0
Hungary,0,1,1
India,0,0,0
Indonesia,0,1,0
Iran,0,0,0
Iraq,0,1,0
Ireland,0,0,1
Israel,0,1,0
Italy,0,1,0
Japan,1,1,0
Kenya,0,0,0
"Korea, South",1,1,0
Kuwait,0,1,0
Lebanon,0,1,0
Libya,0,1,0
Macedonia,0,1,0
Malaysia,1,1,0
Mexico,0,1,0
Montenegro,0,1,0
Netherlands,0,1,1
New Zealand,0,0,1
Nigeria,0,1,1
Norway,1,1,1
Pakistan,0,0,0
Panama,0,1,0
Peru,0,1,0
Philippines,1,1,0
Poland,0,1,0
Portugal,0,1,0
Romania,1,1,0
Russia,1,1,0
Saudi Arabia,0,1,0
Serbia,0,1,0
Singapore,1,1,0
South Africa,0,0,1
Spain,0,1,0
Sweden,1,1,1
Switzerland,0,1,1
Taiwan ,0,0,0
Tanzania,0,0,0
Thailand,1,1,0
Turkey,0,0,0
United Arab Emirates,0,1,0
United Kingdom,0,0,1
United States,0,0,1
Uruguay,0,1,0
Venezuela,0,1,0
Zambia,0,0,0
